"Name","Family","ExtId__c"
"Product 1","Home",1
"Product 2","Garden",2
"Product 3","Outdoor",3
"Product 4","Home",4
"Product 5","Garden",5
"Product 6","Outdoor",6
"Product 7","Home",7
"Product 8","Garden",8
"Product 9","Outdoor",9
"Product 10","Home",10
"Product 11","Garden",11
"Product 12","Outdoor",12
"Product 13","Home",13
"Product 14","Garden",14
"Product 15","Outdoor",15
"Product 16","Home",16
"Product 17","Garden",17
"Product 18","Outdoor",18
"Product 19","Home",19
"Product 20","Garden",20
"Product 21","Outdoor",21
"Product 22","Home",22
"Product 23","Garden",23
"Product 24","Outdoor",24
"Product 25","Home",25
"Product 26","Garden",26
"Product 27","Outdoor",27
"Product 28","Home",28
"Product 29","Garden",29
"Product 30","Outdoor",30
"Product 31","Home",31
"Product 32","Garden",32
"Product 33","Outdoor",33
"Product 34","Home",34
"Product 35","Garden",35
"Product 36","Outdoor",36
"Product 37","Home",37
"Product 38","Garden",38
"Product 39","Outdoor",39
"Product 40","Home",40
"Product 41","Garden",41
"Product 42","Outdoor",42
"Product 43","Home",43
"Product 44","Garden",44
"Product 45","Outdoor",45
"Product 46","Home",46
"Product 47","Garden",47
"Product 48","Outdoor",48
"Product 49","Home",49
"Product 50","Garden",50
"Product 51","Outdoor",51
"Product 52","Home",52
"Product 53","Garden",53
"Product 54","Outdoor",54
"Product 55","Home",55
"Product 56","Garden",56
"Product 57","Outdoor",57
"Product 58","Home",58
"Product 59","Garden",59
"Product 60","Outdoor",60
"Product 61","Home",61
"Product 62","Garden",62
"Product 63","Outdoor",63
"Product 64","Home",64
"Product 65","Garden",65
"Product 66","Outdoor",66
"Product 67","Home",67
"Product 68","Garden",68
"Product 69","Outdoor",69
"Product 70","Home",70
"Product 71","Garden",71
"Product 72","Outdoor",72
"Product 73","Home",73
"Product 74","Garden",74
"Product 75","Outdoor",75
"Product 76","Home",76
"Product 77","Garden",77
"Product 78","Outdoor",78
"Product 79","Home",79
"Product 80","Garden",80
"Product 81","Outdoor",81
"Product 82","Home",82
"Product 83","Garden",83
"Product 84","Outdoor",84
"Product 85","Home",85
"Product 86","Garden",86
"Product 87","Outdoor",87
"Product 88","Home",88
"Product 89","Garden",89
"Product 90","Outdoor",90
"Product 91","Home",91
"Product 92","Garden",92
"Product 93","Outdoor",93
"Product 94","Home",94
"Product 95","Garden",95
"Product 96","Outdoor",96
"Product 97","Home",97
"Product 98","Garden",98
"Product 99","Outdoor",99
"Product 100","Home",100
"Product 101","Garden",101
"Product 102","Outdoor",102
"Product 103","Home",103
"Product 104","Garden",104
"Product 105","Outdoor",105
"Product 106","Home",106
"Product 107","Garden",107
"Product 108","Outdoor",108
"Product 109","Home",109
"Product 110","Garden",110
"Product 111","Outdoor",111
"Product 112","Home",112
"Product 113","Garden",113
"Product 114","Outdoor",114
"Product 115","Home",115
"Product 116","Garden",116
"Product 117","Outdoor",117
"Product 118","Home",118
"Product 119","Garden",119
"Product 120","Outdoor",120
"Product 121","Home",121
"Product 122","Garden",122
"Product 123","Outdoor",123
"Product 124","Home",124
"Product 125","Garden",125
"Product 126","Outdoor",126
"Product 127","Home",127
"Product 128","Garden",128
"Product 129","Outdoor",129
"Product 130","Home",130
"Product 131","Garden",131
"Product 132","Outdoor",132
"Product 133","Home",133
"Product 134","Garden",134
"Product 135","Outdoor",135
"Product 136","Home",136
"Product 137","Garden",137
"Product 138","Outdoor",138
"Product 139","Home",139
"Product 140","Garden",140
"Product 141","Outdoor",141
"Product 142","Home",142
"Product 143","Garden",143
"Product 144","Outdoor",144
"Product 145","Home",145
"Product 146","Garden",146
"Product 147","Outdoor",147
"Product 148","Home",148
"Product 149","Garden",149
"Product 150","Outdoor",150
"Product 151","Home",151
"Product 152","Garden",152
"Product 153","Outdoor",153
"Product 154","Home",154
"Product 155","Garden",155
"Product 156","Outdoor",156
"Product 157","Home",157
"Product 158","Garden",158
"Product 159","Outdoor",159
"Product 160","Home",160
"Product 161","Garden",161
"Product 162","Outdoor",162
"Product 163","Home",163
"Product 164","Garden",164
"Product 165","Outdoor",165
"Product 166","Home",166
"Product 167","Garden",167
"Product 168","Outdoor",168
"Product 169","Home",169
"Product 170","Garden",170
"Product 171","Outdoor",171
"Product 172","Home",172
"Product 173","Garden",173
"Product 174","Outdoor",174
"Product 175","Home",175
"Product 176","Garden",176
"Product 177","Outdoor",177
"Product 178","Home",178
"Product 179","Garden",179
"Product 180","Outdoor",180
"Product 181","Home",181
"Product 182","Garden",182
"Product 183","Outdoor",183
"Product 184","Home",184
"Product 185","Garden",185
"Product 186","Outdoor",186
"Product 187","Home",187
"Product 188","Garden",188
"Product 189","Outdoor",189
"Product 190","Home",190
"Product 191","Garden",191
"Product 192","Outdoor",192
"Product 193","Home",193
"Product 194","Garden",194
"Product 195","Outdoor",195
"Product 196","Home",196
"Product 197","Garden",197
"Product 198","Outdoor",198
"Product 199","Home",199
"Product 200","Garden",200
"Product 201","Outdoor",201
"Product 202","Home",202
"Product 203","Garden",203
"Product 204","Outdoor",204
"Product 205","Home",205
"Product 206","Garden",206
"Product 207","Outdoor",207
"Product 208","Home",208
"Product 209","Garden",209
"Product 210","Outdoor",210
"Product 211","Home",211
"Product 212","Garden",212
"Product 213","Outdoor",213
"Product 214","Home",214
"Product 215","Garden",215
"Product 216","Outdoor",216
"Product 217","Home",217
"Product 218","Garden",218
"Product 219","Outdoor",219
"Product 220","Home",220
"Product 221","Garden",221
"Product 222","Outdoor",222
"Product 223","Home",223
